武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味

新綠盾斧,288,,,,,"['22.5%', '12.5%', '15%', '50%', '22.5%', '12.5%']","['20%', '7.5%', '37.5%']"
調查團試作盾斧Ⅰ,288,,,,,"['22.5%', '12.5%', '15%', '50%', '22.5%', '12.5%']","['20%', '7.5%', '37.5%']"
調查團試作盾斧Ⅱ,324,,,,,"['17.5%', '17.5%', '7.5%', '7.5%', '50%', '17.5%']","['17.5%', '7.5%', '20%', '37.5%']"
調查團試作盾斧Ⅲ,360,,,,,"['12.5%', '17.5%', '7.5%', '12.5%', '50%', '12.5%']","['17.5%', '7.5%', '25%', '37.5%']"
精銳調查團盾斧Ⅰ,396,,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
精銳調查團盾斧Ⅱ,468,,,,,"['12.5%', '12.5%', '20%', '17.5%', '37.5%', '12.5%']","['12.5%', '20%', '30%', '25%']"
精銳調查團盾斧Ⅲ,504,(120),,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
鉻鐵守護者Ⅰ,576,(150),,,,"['20%', '12.5%', '12.5%', '20%', '10%', '25%']","['20%', '12.5%', '12.5%', '20%', '22.5%', '12.5%']"
鉻鐵守護者Ⅱ,648,(270),,,,"['15%', '15%', '5%', '37.5%', '15%', '12.5%']","['15%', '15%', '5%', '37.5%', '22.5%', '5%', '0%']"
滅盡龍的揮擊,720,120龍封力[大],,,,"['27.5%', '30%', '10%', '12.5%', '20%', '0%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
壞滅一束,756,150龍封力[大],,,,"['25%', '30%', '10%', '12.5%', '22.5%', '0%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
火龍盾斧Ⅰ,432,150,+10%,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
火龍盾斧Ⅱ,576,180,+10%,,,"['25%', '12.5%', '20%', '17.5%', '25%', '25%']","['12.5%', '20%', '25%', '5%', '12.5%']"
炎斧蛇王,612,210,+20%,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
焰斧鶴王,684,240,+20%,,,"['17.5%', '12.5%', '15%', '30%', '12.5%', '12.5%']","['17.5%', '12.5%', '15%', '30%', '15%', '10%', '0%']"
泥流盾斧Ⅰ,396,120,,,,"['20%', '17.5%', '7.5%', '5%', '50%', '20%']","['17.5%', '7.5%', '17.5%', '37.5%']"
泥流盾斧Ⅱ,432,150,,,,"['22.5%', '12.5%', '20%', '7.5%', '37.5%', '22.5%']","['12.5%', '20%', '20%', '25%']"
泥流盾斧Ⅲ,504,180,,,,"['20%', '12.5%', '20%', '10%', '37.5%', '20%']","['12.5%', '20%', '22.5%', '25%']"
深沉泥岩Ⅰ,576,210,,,,"['27.5%', '12.5%', '20%', '15%', '25%', '27.5%']","['12.5%', '20%', '25%', '2.5%', '12.5%']"
深沉泥岩Ⅱ,648,240,,,,"['27.5%', '12.5%', '12.5%', '20%', '2.5%', '25%']","['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']"
深沉泥岩Ⅲ,684,270,,,,"['25%', '15%', '15%', '25%', '7.5%', '12.5%']","['25%', '15%', '15%', '25%', '12.5%', '7.5%', '0%']"
冰結盾斧Ⅰ,504,150,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
冰結盾斧Ⅱ,540,180,,,,"['25%', '12.5%', '20%', '17.5%', '25%', '25%']","['12.5%', '20%', '25%', '5%', '12.5%']"
寒霜巨人Ⅰ,576,210,,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
寒霜巨人Ⅱ,612,240,,,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
焰火盾斧,468,240,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
雌火盾斧,540,270,,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
櫻火盾斧,612,300,,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
火鎧盾斧,684,330,,,,"['17.5%', '12.5%', '15%', '30%', '12.5%', '12.5%']","['17.5%', '12.5%', '15%', '30%', '15%', '10%', '0%']"
骨製兵裝Ⅰ,324,,,,,"['22.5%', '15%', '12.5%', '50%', '22.5%', '15%']","['20%', '5%', '37.5%']"
骨製兵裝Ⅱ,360,,,,,"['20%', '12.5%', '17.5%', '50%', '20%', '12.5%']","['20%', '10%', '37.5%']"
骨製兵裝Ⅲ,396,,,,,"['20%', '12.5%', '12.5%', '5%', '50%', '20%']","['12.5%', '12.5%', '17.5%', '37.5%']"
硬骨兵裝Ⅰ,432,,,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
硬骨兵裝Ⅱ,504,,,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
硬骨兵裝Ⅲ,576,(180),,,,"['32.5%', '17.5%', '7.5%', '17.5%', '25%', '32.5%']","['17.5%', '7.5%', '25%', '5%', '12.5%']"
強骨兵裝Ⅰ,612,(210),,10,,"['22.5%', '25%', '10%', '10%', '7.5%', '25%']","['22.5%', '25%', '10%', '10%', '20%', '12.5%']"
強骨兵裝Ⅱ,684,(240),,10,,"['22.5%', '30%', '10%', '12.5%', '12.5%', '12.5%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
爆鎚盾牆Ⅰ,612,,-30%,10,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
爆鎚盾牆Ⅱ,684,(90),-30%,10,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
暴君銅盾Ⅰ,756,(120),-30%,15,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
暴君銅盾Ⅱ,828,(180),-30%,15,,"['22.5%', '12.5%', '15%', '30%', '7.5%', '12.5%']","['22.5%', '12.5%', '15%', '30%', '15%', '5%', '0%']"
凶豺龍兵裝Ⅰ,396,,,,,"['17.5%', '12.5%', '12.5%', '7.5%', '50%', '17.5%']","['12.5%', '12.5%', '20%', '37.5%']"
凶豺龍兵裝Ⅱ,432,,,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
凶豺龍兵裝Ⅲ,468,,,,,"['22.5%', '17.5%', '7.5%', '15%', '37.5%', '22.5%']","['17.5%', '7.5%', '27.5%', '25%']"
凶豺龍盾斧Ⅰ,540,(120),,,,"['32.5%', '17.5%', '7.5%', '17.5%', '25%', '32.5%']","['17.5%', '7.5%', '25%', '5%', '12.5%']"
凶豺龍盾斧Ⅱ,648,(150),,,,"['22.5%', '25%', '10%', '10%', '7.5%', '25%']","['22.5%', '25%', '10%', '10%', '20%', '12.5%']"
凶豺龍盾斧Ⅲ,684,(180),,,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
岩賊龍盾Ⅰ,576,150,,,,"['20%', '25%', '10%', '10%', '10%', '25%']","['20%', '25%', '10%', '10%', '22.5%', '12.5%']"
岩賊龍盾Ⅱ,612,180,,,,"['27.5%', '27.5%', '10%', '10%', '12.5%', '12.5%']","['27.5%', '27.5%', '10%', '10%', '20%', '5%', '0%']"
凶顎龍兵裝Ⅰ,432,180,+15%,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
凶顎龍兵裝Ⅱ,468,210,+15%,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
凶顎龍盾斧Ⅰ,504,240,+20%,,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
