武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味

鐵銃槍,184,通常彈 Lv 1,,,,"['25%', '12.5%', '12.5%', '50%', '25%', '12.5%']","['20%', '5%', '37.5%']"
鐵銃槍Ⅰ,184,通常彈 Lv 1,,,,"['25%', '12.5%', '12.5%', '50%', '25%', '12.5%']","['20%', '5%', '37.5%']"
鐵銃槍Ⅱ,207,通常彈 Lv 1,,,,"['17.5%', '17.5%', '7.5%', '7.5%', '50%', '17.5%']","['17.5%', '7.5%', '20%', '37.5%']"
鐵銃槍Ⅲ,230,通常彈 Lv 1,,,,"['15%', '17.5%', '7.5%', '10%', '50%', '15%']","['17.5%', '7.5%', '22.5%', '37.5%']"
鋼鐵銃槍Ⅰ,253,通常彈 Lv 2,,,,"['20%', '12.5%', '20%', '10%', '37.5%', '20%']","['12.5%', '20%', '22.5%', '25%']"
鋼鐵銃槍Ⅱ,299,通常彈 Lv 2,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
鋼鐵銃槍Ⅲ,322,(210)通常彈 Lv 2,,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
鉻鋼銃槍Ⅰ,368,(240)通常彈 Lv 3,,,,"['17.5%', '12.5%', '12.5%', '20%', '12.5%', '25%']","['17.5%', '12.5%', '12.5%', '20%', '25%', '12.5%']"
鉻鋼銃槍Ⅱ,414,(270)通常彈 Lv 3,,,,"['15%', '15%', '5%', '37.5%', '15%', '12.5%']","['15%', '15%', '5%', '37.5%', '22.5%', '5%', '0%']"
滅盡龍的顫抖,460,120擴散型 Lv 2龍封力[大],,,,"['30%', '30%', '10%', '12.5%', '17.5%', '0%']","['30%', '30%', '10%', '12.5%', '17.5%', '0%']"
燒滅種火,483,150擴散型 Lv 2龍封力[大],,,,"['27.5%', '30%', '10%', '12.5%', '20%', '0%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
脈衝銃槍Ⅰ,230,120放射型 Lv 1,+10%,,,"['17.5%', '17.5%', '7.5%', '7.5%', '50%', '17.5%']","['17.5%', '7.5%', '20%', '37.5%']"
脈衝銃槍Ⅱ,253,150放射型 Lv 1,+10%,,,"['20%', '12.5%', '20%', '10%', '37.5%', '20%']","['12.5%', '20%', '22.5%', '25%']"
