武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味

束縛巨岩,416,,,,,"['25%', '12.5%', '12.5%', '50%', '25%', '12.5%']","['20%', '5%', '37.5%']"
鐵鎚Ⅰ,416,,,,,"['25%', '12.5%', '12.5%', '50%', '25%', '12.5%']","['20%', '5%', '37.5%']"
鐵鎚Ⅱ,468,,,,,"['20%', '17.5%', '7.5%', '5%', '50%', '20%']","['17.5%', '7.5%', '17.5%', '37.5%']"
鐵鎚Ⅲ,520,,,,,"['15%', '17.5%', '7.5%', '10%', '50%', '15%']","['17.5%', '7.5%', '22.5%', '37.5%']"
鬼鐵,572,,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
鬼鐵Ⅱ,676,,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
鬼鐵Ⅲ,728,(210),,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
大鬼鐵Ⅰ,832,(240),,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
大鬼鐵Ⅱ,936,(270),,,,"['15%', '15%', '5%', '37.5%', '15%', '12.5%']","['15%', '15%', '5%', '37.5%', '22.5%', '5%', '0%']"
滅盡龍粉碎者,1040,90龍封力[大],,,,"['30%', '30%', '10%', '12.5%', '17.5%', '0%']","['30%', '30%', '10%', '12.5%', '17.5%', '0%']"
潰滅一擊,1092,120龍封力[大],,,,"['27.5%', '30%', '10%', '12.5%', '20%', '0%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
冰霜核心,624,270,,,,"['12.5%', '12.5%', '20%', '17.5%', '37.5%', '12.5%']","['12.5%', '20%', '30%', '25%']"
冰霜核心改,832,390,,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
慟泣冰河,936,450,,,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
水流鎚Ⅰ,572,90,,,,"['20%', '17.5%', '7.5%', '5%', '50%', '20%']","['17.5%', '7.5%', '17.5%', '37.5%']"
水流鎚Ⅱ,624,120,,,,"['22.5%', '12.5%', '20%', '7.5%', '37.5%', '22.5%']","['12.5%', '20%', '20%', '25%']"
