武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味

龍顎,384,,,,,"['25%', '12.5%', '12.5%', '50%', '25%', '12.5%']","['20%', '5%', '37.5%']"
巨劍Ⅰ,384,,,,,"['25%', '12.5%', '12.5%', '50%', '25%', '12.5%']","['20%', '5%', '37.5%']"
巨劍Ⅱ,432,,,,,"['17.5%', '17.5%', '7.5%', '7.5%', '50%', '17.5%']","['17.5%', '7.5%', '20%', '37.5%']"
巨劍Ⅲ,480,,,,,"['15%', '17.5%', '7.5%', '10%', '50%', '15%']","['17.5%', '7.5%', '22.5%', '37.5%']"
巨刃劍Ⅰ,576,,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
巨刃劍Ⅱ,624,,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
巨刃劍Ⅲ,672,(240),,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
鉻鋼剃刀Ⅰ,720,(330),,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
鉻鋼剃刀Ⅱ,864,(420),,,,"['15%', '15%', '5%', '37.5%', '15%', '12.5%']","['15%', '15%', '5%', '37.5%', '22.5%', '5%', '0%']"
滅盡龍的裁決,912,120龍封力[大],,,,"['30%', '30%', '10%', '12.5%', '17.5%', '0%']","['30%', '30%', '10%', '12.5%', '17.5%', '0%']"
滅鬼兇器,1008,150龍封力[大],,,,"['27.5%', '30%', '10%', '12.5%', '20%', '0%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
雷刃劍Ⅰ,528,120,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
雷刃劍Ⅱ,624,150,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
雷光懲罰者Ⅰ,672,180,,,,"['25%', '12.5%', '20%', '17.5%', '25%', '25%']","['12.5%', '20%', '25%', '5%', '12.5%']"
雷光懲罰者Ⅱ,816,210,,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
雷光懲罰者Ⅲ,912,240,,,,"['25%', '30%', '10%', '12.5%', '10%', '12.5%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
冰刃劍Ⅰ,576,240,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
冰刃劍Ⅱ,624,270,,,,"['25%', '12.5%', '20%', '17.5%', '25%', '25%']","['12.5%', '20%', '25%', '5%', '12.5%']"
霜炎Ⅰ,720,330,,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
霜炎Ⅱ,768,390,,,,"['20%', '15%', '20%', '20%', '12.5%', '12.5%']","['20%', '15%', '20%', '20%', '20%', '5%', '0%']"
凶豺龍之刃Ⅰ,528,,,,,"['20%', '17.5%', '7.5%', '5%', '50%', '20%']","['17.5%', '7.5%', '17.5%', '37.5%']"
凶豺龍之刃Ⅱ,576,,,,,"['20%', '12.5%', '20%', '10%', '37.5%', '20%']","['12.5%', '20%', '22.5%', '25%']"
凶豺龍之刃Ⅲ,672,,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
凶豺龍鉤爪Ⅰ,816,(210),,,,"['25%', '12.5%', '20%', '17.5%', '25%', '25%']","['12.5%', '20%', '25%', '5%', '12.5%']"
凶豺龍鉤爪Ⅱ,864,(240),,,,"['27.5%', '12.5%', '12.5%', '20%', '2.5%', '25%']","['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']"
凶豺龍鉤爪Ⅲ,912,(300),,,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
凶顎龍大劍Ⅰ,528,210,+15%,,,"['20%', '12.5%', '20%', '10%', '37.5%', '20%']","['12.5%', '20%', '22.5%', '25%']"
凶顎龍大劍Ⅱ,624,240,+15%,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
馬拉多之鐵Ⅰ,672,270,+20%,,,"['27.5%', '12.5%', '12.5%', '20%', '2.5%', '25%']","['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']"
馬拉多之鐵Ⅱ,720,360,+20%,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
馬拉多之鐵Ⅲ,768,450,+20%,,,"['20%', '15%', '15%', '25%', '12.5%', '12.5%']","['20%', '15%', '15%', '25%', '17.5%', '7.5%', '0%']"
熔岩之炎Ⅰ,768,270,,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
熔岩之炎Ⅱ,864,330,,,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
花朵之刀Ⅰ,528,240,,,,"['15%', '17.5%', '7.5%', '10%', '50%', '15%']","['17.5%', '7.5%', '22.5%', '37.5%']"
花朵之刀Ⅱ,576,300,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
花朵之刀Ⅲ,624,360,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
曼陀羅之炎Ⅰ,720,420,,,,"['27.5%', '12.5%', '12.5%', '20%', '2.5%', '25%']","['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']"
曼陀羅之炎Ⅱ,768,480,,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
曼陀羅之炎Ⅲ,816,540,,,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
火炎之刃Ⅰ,672,120,+10%,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
火炎之刃Ⅱ,720,150,+10%,,,"['25%', '12.5%', '20%', '17.5%', '25%', '25%']","['12.5%', '20%', '25%', '5%', '12.5%']"
赤紅之翼,768,180,+15%,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
藍翼大劍,816,210,+15%,,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
火龍煌劍,912,240,+15%,,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
骨劍Ⅰ,480,,,,,"['25%', '15%', '10%', '50%', '25%', '15%']","['20%', '2.5%', '37.5%']"
骨劍Ⅱ,528,,,,,"['22.5%', '15%', '12.5%', '50%', '22.5%', '15%']","['20%', '5%', '37.5%']"
骨劍Ⅲ,576,,,,,"['22.5%', '12.5%', '12.5%', '2.5%', '50%', '22.5%']","['12.5%', '12.5%', '15%', '37.5%']"
斬骨劍Ⅰ,672,,,,,"['32.5%', '17.5%', '7.5%', '5%', '37.5%', '32.5%']","['17.5%', '7.5%', '17.5%', '25%']"
斬骨劍Ⅱ,720,,,,,"['30%', '17.5%', '7.5%', '7.5%', '37.5%', '30%']","['17.5%', '7.5%', '20%', '25%']"
斬骨劍Ⅲ,768,(180),,,,"['30%', '15%', '20%', '10%', '25%', '30%']","['15%', '20%', '20%', '2.5%', '12.5%']"
大龍顎Ⅰ,816,(240),,10,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
大龍顎Ⅱ,912,(300),,10,,"['27.5%', '30%', '10%', '12.5%', '7.5%', '12.5%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
