武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味

閃電長槍,184,,,,,"['25%', '12.5%', '12.5%', '50%', '25%', '12.5%']","['20%', '5%', '37.5%']"
鐵槍Ⅰ,184,,,,,"['25%', '12.5%', '12.5%', '50%', '25%', '12.5%']","['20%', '5%', '37.5%']"
鐵槍Ⅱ,207,,,,,"['20%', '17.5%', '7.5%', '5%', '50%', '20%']","['17.5%', '7.5%', '17.5%', '37.5%']"
鐵槍Ⅲ,230,,,,,"['15%', '17.5%', '7.5%', '10%', '50%', '15%']","['17.5%', '7.5%', '22.5%', '37.5%']"
鋼鐵槍Ⅰ,253,,,,,"['20%', '12.5%', '20%', '10%', '37.5%', '20%']","['12.5%', '20%', '22.5%', '25%']"
鋼鐵槍Ⅱ,299,,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
鋼鐵槍Ⅲ,322,(210),,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
鉻鋼長槍Ⅰ,368,(240),,,,"['17.5%', '12.5%', '12.5%', '20%', '12.5%', '25%']","['17.5%', '12.5%', '12.5%', '20%', '25%', '12.5%']"
鉻鋼長槍Ⅱ,414,(270),,,,"['15%', '15%', '5%', '37.5%', '15%', '12.5%']","['15%', '15%', '5%', '37.5%', '22.5%', '5%', '0%']"
滅盡龍長槍,460,120龍封力[大],,,,"['30%', '30%', '10%', '12.5%', '17.5%', '0%']","['30%', '30%', '10%', '12.5%', '17.5%', '0%']"
亡滅之腕,483,150龍封力[大],,,,"['27.5%', '30%', '10%', '12.5%', '20%', '0%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
優雅長槍Ⅰ,299,270,,,,"['25%', '17.5%', '7.5%', '12.5%', '37.5%', '25%']","['17.5%', '7.5%', '25%', '25%']"
優雅長槍Ⅱ,322,300,,,,"['27.5%', '25%', '10%', '10%', '2.5%', '25%']","['27.5%', '25%', '10%', '10%', '15%', '12.5%']"
風漂龍斧槍Ⅰ,345,330,,,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
風漂龍斧槍Ⅱ,368,360,,,,"['32.5%', '7.5%', '15%', '20%', '10%', '2.5%']","['12.5%', '32.5%', '7.5%', '15%', '20%', '10%', '15%', '0%']"
搔鳥長槍Ⅰ,253,,+15%,,,"['17.5%', '17.5%', '7.5%', '7.5%', '50%', '17.5%']","['17.5%', '7.5%', '20%', '37.5%']"
搔鳥長槍Ⅱ,276,,+15%,,,"['20%', '12.5%', '20%', '10%', '37.5%', '20%']","['12.5%', '20%', '22.5%', '25%']"
搔鳥長槍Ⅲ,299,,+15%,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
搔鳥尖槍Ⅰ,345,(300),+25%,,,"['27.5%', '12.5%', '12.5%', '20%', '2.5%', '25%']","['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']"
搔鳥尖槍Ⅱ,368,(330),+25%,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
搔鳥尖槍Ⅲ,391,(360),+25%,,,"['22.5%', '15%', '15%', '25%', '10%', '12.5%']","['22.5%', '15%', '15%', '25%', '15%', '7.5%', '0%']"
岩賊龍刺針Ⅰ,368,180,,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
岩賊龍刺針Ⅱ,391,210,,,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
閃電長槍Ⅰ,276,120,,,,"['22.5%', '12.5%', '20%', '7.5%', '37.5%', '22.5%']","['12.5%', '20%', '20%', '25%']"
閃電長槍Ⅱ,322,150,,,,"['20%', '12.5%', '20%', '10%', '37.5%', '20%']","['12.5%', '20%', '22.5%', '25%']"
雷光長槍Ⅰ,368,180,,,,"['15%', '12.5%', '20%', '27.5%', '25%', '15%']","['12.5%', '20%', '37.5%', '2.5%', '12.5%']"
雷光長槍Ⅱ,391,210,,,,"['27.5%', '12.5%', '12.5%', '20%', '2.5%', '25%']","['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']"
雷光長槍Ⅲ,414,240,,,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
花朵長槍Ⅰ,230,240,,,,"['15%', '17.5%', '7.5%', '10%', '50%', '15%']","['17.5%', '7.5%', '22.5%', '37.5%']"
花朵長槍Ⅱ,253,300,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
花朵長槍Ⅲ,299,360,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
曼陀羅長矛Ⅰ,345,420,,,,"['27.5%', '12.5%', '12.5%', '20%', '2.5%', '25%']","['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']"
