武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味

羽毛長刀,248,,,,,"['22.5%', '12.5%', '15%', '50%', '22.5%', '12.5%']","['20%', '7.5%', '37.5%']"
鐵製長刀Ⅰ,248,,,,,"['22.5%', '12.5%', '15%', '50%', '22.5%', '12.5%']","['20%', '7.5%', '37.5%']"
鐵製長刀Ⅱ,279,,,,,"['17.5%', '17.5%', '7.5%', '7.5%', '50%', '17.5%']","['17.5%', '7.5%', '20%', '37.5%']"
鐵製長刀Ⅲ,310,,,,,"['12.5%', '17.5%', '7.5%', '12.5%', '50%', '12.5%']","['17.5%', '7.5%', '25%', '37.5%']"
鋼鐵長刀Ⅰ,341,,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
鋼鐵長刀Ⅱ,403,,,,,"['12.5%', '12.5%', '20%', '17.5%', '37.5%', '12.5%']","['12.5%', '20%', '30%', '25%']"
鋼鐵長刀Ⅲ,434,(210),,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
鉻鋼長刀Ⅰ,496,(240),,,,"['20%', '12.5%', '12.5%', '20%', '10%', '25%']","['20%', '12.5%', '12.5%', '20%', '22.5%', '12.5%']"
鉻鋼長刀Ⅱ,558,(270),,,,"['15%', '15%', '5%', '37.5%', '15%', '12.5%']","['15%', '15%', '5%', '37.5%', '22.5%', '5%', '0%']"
滅盡龍的沉靜,620,120龍封力[大],,,,"['27.5%', '30%', '10%', '12.5%', '20%', '0%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
撲滅導燈,651,150龍封力[大],,,,"['25%', '30%', '10%', '12.5%', '22.5%', '0%']","['25%', '30%', '10%', '12.5%', '22.5%', '0%']"
火焰長刀Ⅰ,372,90,+10%,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
火焰長刀Ⅱ,465,120,+10%,,,"['25%', '12.5%', '20%', '17.5%', '25%', '25%']","['12.5%', '20%', '25%', '5%', '12.5%']"
火龍棍,527,150,+20%,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
