武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味

銳鐵劍,112,,,,,"['22.5%', '12.5%', '15%', '50%', '22.5%', '12.5%']","['20%', '7.5%', '37.5%']"
獵人小刀Ⅰ,112,,,,,"['22.5%', '12.5%', '15%', '50%', '22.5%', '12.5%']","['20%', '7.5%', '37.5%']"
獵人小刀Ⅱ,126,,,,,"['17.5%', '17.5%', '7.5%', '7.5%', '50%', '17.5%']","['17.5%', '7.5%', '20%', '37.5%']"
獵人小刀Ⅲ,140,,,,,"['12.5%', '17.5%', '7.5%', '12.5%', '50%', '12.5%']","['17.5%', '7.5%', '25%', '37.5%']"
鋼鐵小刀Ⅰ,168,,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
鋼鐵小刀Ⅱ,182,,,,,"['12.5%', '12.5%', '20%', '17.5%', '37.5%', '12.5%']","['12.5%', '20%', '30%', '25%']"
鋼鐵小刀Ⅲ,196,(120),,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
鉻鋼切刀,224,(150),,,,"['20%', '12.5%', '12.5%', '20%', '10%', '25%']","['20%', '12.5%', '12.5%', '20%', '22.5%', '12.5%']"
鉻鋼切刀Ⅱ,252,(240),,,,"['12.5%', '15%', '5%', '37.5%', '17.5%', '12.5%']","['12.5%', '15%', '5%', '37.5%', '22.5%', '7.5%', '0%']"
滅盡龍單手劍,280,120龍封力[大],,,,"['27.5%', '30%', '10%', '12.5%', '20%', '0%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
殲滅之尖兵,294,150龍封力[大],,,,"['22.5%', '30%', '10%', '12.5%', '25%', '0%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
火炎小刀Ⅰ,182,120,+10%,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
