武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味

飛龍刀,264,,,,,"['25%', '12.5%', '12.5%', '50%', '25%', '12.5%']","['20%', '5%', '37.5%']"
鐵刀Ⅰ,264,,,,,"['25%', '12.5%', '12.5%', '50%', '25%', '12.5%']","['20%', '5%', '37.5%']"
鐵刀Ⅱ,297,,,,,"['20%', '17.5%', '7.5%', '5%', '50%', '20%']","['17.5%', '7.5%', '17.5%', '37.5%']"
鐵刀Ⅲ,330,,,,,"['15%', '17.5%', '7.5%', '10%', '50%', '15%']","['17.5%', '7.5%', '22.5%', '37.5%']"
鐵刀【禊】Ⅰ,363,,,,,"['20%', '12.5%', '20%', '10%', '37.5%', '20%']","['12.5%', '20%', '22.5%', '25%']"
鐵刀【禊】Ⅱ,429,,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
鐵刀【禊】Ⅲ,462,(120),,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
鐵刀【神樂】Ⅰ,528,(150),,,,"['17.5%', '12.5%', '12.5%', '20%', '12.5%', '25%']","['17.5%', '12.5%', '12.5%', '20%', '25%', '12.5%']"
鐵刀【神樂】Ⅱ,594,(180),,,,"['12.5%', '15%', '5%', '37.5%', '17.5%', '12.5%']","['12.5%', '15%', '5%', '37.5%', '22.5%', '7.5%', '0%']"
滅盡龍太刀,627,90龍封力[大],,,,"['30%', '30%', '10%', '12.5%', '17.5%', '0%']","['30%', '30%', '10%', '12.5%', '17.5%', '0%']"
滅盡一刀,693,120龍封力[大],,,,"['27.5%', '30%', '10%', '12.5%', '20%', '0%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
眩刀【搖】Ⅰ,429,,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
眩刀【搖】Ⅱ,462,,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
眩惑刀【閃】Ⅰ,528,(240),,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
眩惑刀【閃】Ⅱ,561,(300),,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
眩惑刀【閃】Ⅲ,594,(360),,,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
星空太刀Ⅰ,330,,+15%,,,"['17.5%', '17.5%', '7.5%', '7.5%', '50%', '17.5%']","['17.5%', '7.5%', '20%', '37.5%']"
星空太刀Ⅱ,363,,+15%,,,"['20%', '12.5%', '20%', '10%', '37.5%', '20%']","['12.5%', '20%', '22.5%', '25%']"
星空太刀Ⅲ,429,,+15%,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
星空迅刀Ⅰ,495,(210),+20%,,,"['27.5%', '12.5%', '12.5%', '20%', '2.5%', '25%']","['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']"
星空迅刀Ⅱ,528,(240),+20%,,,"['20%', '12.5%', '12.5%', '20%', '10%', '25%']","['20%', '12.5%', '12.5%', '20%', '22.5%', '12.5%']"
星空迅刀Ⅲ,561,(270),+20%,,,"['20%', '15%', '20%', '20%', '12.5%', '12.5%']","['20%', '15%', '20%', '20%', '20%', '5%', '0%']"
爆鎚太刀Ⅰ,594,90,-10%,25,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
爆鎚太刀Ⅱ,660,120,-10%,30,,"['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']","['22.5%', '12.5%', '12.5%', '20%', '32.5%', '0%']"
飛龍刀【綠葉】,363,240,+10%,,,"['22.5%', '12.5%', '20%', '7.5%', '37.5%', '22.5%']","['12.5%', '20%', '20%', '25%']"
飛龍刀【翠】,495,270,+10%,,,"['27.5%', '12.5%', '12.5%', '20%', '2.5%', '25%']","['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']"
飛龍刀【葵】,627,330,+10%,,,"['20%', '15%', '15%', '25%', '12.5%', '12.5%']","['20%', '15%', '15%', '25%', '17.5%', '7.5%', '0%']"
飛龍刀【紅葉】,396,150,+15%,,,"['20%', '12.5%', '20%', '10%', '37.5%', '20%']","['12.5%', '20%', '22.5%', '25%']"
飛龍刀【朱】,528,180,+15%,,,"['27.5%', '12.5%', '12.5%', '20%', '2.5%', '25%']","['27.5%', '12.5%', '12.5%', '20%', '15%', '12.5%']"
飛龍刀【蒼】,561,210,+15%,,,"['25%', '15%', '20%', '20%', '7.5%', '12.5%']","['25%', '15%', '20%', '20%', '15%', '5%', '0%']"
飛龍刀【藍染】,627,240,+15%,,,"['17.5%', '12.5%', '15%', '30%', '12.5%', '12.5%']","['17.5%', '12.5%', '15%', '30%', '15%', '10%', '0%']"
骨製彎刀Ⅰ,297,,,,,"['25%', '15%', '10%', '50%', '25%', '15%']","['20%', '2.5%', '37.5%']"
骨製彎刀Ⅱ,330,,,,,"['22.5%', '12.5%', '15%', '50%', '22.5%', '12.5%']","['20%', '7.5%', '37.5%']"
骨製彎刀Ⅲ,396,,,,,"['17.5%', '15%', '15%', '2.5%', '50%', '17.5%']","['15%', '15%', '15%', '37.5%']"
硬骨彎刀Ⅰ,429,,,,,"['32.5%', '17.5%', '7.5%', '5%', '37.5%', '32.5%']","['17.5%', '7.5%', '17.5%', '25%']"
硬骨彎刀Ⅱ,495,,,,,"['27.5%', '17.5%', '7.5%', '10%', '37.5%', '27.5%']","['17.5%', '7.5%', '22.5%', '25%']"
硬骨彎刀Ⅲ,528,(210),,,,"['35%', '17.5%', '7.5%', '15%', '25%', '35%']","['17.5%', '7.5%', '25%', '2.5%', '12.5%']"
骨鐮Ⅰ,561,(240),,10,,"['25%', '25%', '10%', '10%', '5%', '25%']","['25%', '25%', '10%', '10%', '17.5%', '12.5%']"
