武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味

泥岩龍斬斧,112,,,,,"['22.5%', '12.5%', '15%', '50%', '22.5%', '12.5%']","['20%', '7.5%', '37.5%']"
雙刀Ⅰ,112,,,,,"['22.5%', '12.5%', '15%', '50%', '22.5%', '12.5%']","['20%', '7.5%', '37.5%']"
雙刀Ⅱ,126,,,,,"['17.5%', '17.5%', '7.5%', '7.5%', '50%', '17.5%']","['17.5%', '7.5%', '20%', '37.5%']"
雙刀Ⅲ,140,,,,,"['12.5%', '17.5%', '7.5%', '12.5%', '50%', '12.5%']","['17.5%', '7.5%', '25%', '37.5%']"
決鬥雙刀Ⅰ,154,,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
決鬥雙刀Ⅱ,182,,,,,"['12.5%', '12.5%', '20%', '17.5%', '37.5%', '12.5%']","['12.5%', '20%', '30%', '25%']"
決鬥雙刀Ⅲ,196,(210),,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
鉻鋼雙刀Ⅰ,224,(240),,,,"['20%', '12.5%', '12.5%', '20%', '10%', '25%']","['20%', '12.5%', '12.5%', '20%', '22.5%', '12.5%']"
鉻鋼雙刀Ⅱ,252,(270),,,,"['15%', '15%', '5%', '37.5%', '15%', '12.5%']","['15%', '15%', '5%', '37.5%', '22.5%', '5%', '0%']"
滅盡龍裂痕,280,90龍封力[大],,,,"['27.5%', '30%', '10%', '12.5%', '20%', '0%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
殘滅之爪,294,120龍封力[大],,,,"['22.5%', '30%', '10%', '12.5%', '25%', '0%']","['22.5%', '30%', '10%', '12.5%', '25%', '0%']"
閃耀小刀Ⅰ,168,,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
閃耀小刀Ⅱ,196,,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
決鬥者對劍Ⅰ,224,(120),,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
決鬥者對劍Ⅱ,238,(150),,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
決鬥者對劍Ⅲ,252,(210),,,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
爆鱗手斧,252,120,-10%,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
爆鱗雙斧赤紅巨星,280,150,-10%,,,"['15%', '30%', '20%', '15%', '7.5%', '12.5%']","['15%', '30%', '20%', '15%', '7.5%', '12.5%', '0%']"
冰結小刀Ⅰ,182,60,,,,"['12.5%', '12.5%', '20%', '17.5%', '37.5%', '12.5%']","['12.5%', '20%', '30%', '25%']"
冰結小刀Ⅱ,210,90,,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
冰結鏈劍Ⅰ,238,120,,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
冰結鏈劍Ⅱ,252,150,,,,"['20%', '12.5%', '15%', '30%', '10%', '12.5%']","['20%', '12.5%', '15%', '30%', '12.5%', '10%', '0%']"
釘鉤小刀Ⅰ,154,,+15%,,,"['15%', '17.5%', '7.5%', '10%', '50%', '15%']","['17.5%', '7.5%', '22.5%', '37.5%']"
釘鉤小刀Ⅱ,168,,+15%,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
釘鉤小刀Ⅲ,182,,+15%,,,"['12.5%', '12.5%', '20%', '17.5%', '37.5%', '12.5%']","['12.5%', '20%', '30%', '25%']"
奧秘雙劍Ⅰ,210,(90),+20%,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
奧秘雙劍Ⅱ,224,(90),+20%,,,"['20%', '12.5%', '12.5%', '20%', '10%', '25%']","['20%', '12.5%', '12.5%', '20%', '22.5%', '12.5%']"
奧秘雙劍Ⅲ,238,(120),+20%,,,"['20%', '15%', '15%', '25%', '12.5%', '12.5%']","['20%', '15%', '15%', '25%', '17.5%', '7.5%', '0%']"
秩序細劍,182,90,,,,"['12.5%', '12.5%', '20%', '17.5%', '37.5%', '12.5%']","['12.5%', '20%', '30%', '25%']"
秩序細劍改,210,90,,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
神聖佩劍,252,120,,,,"['15%', '12.5%', '15%', '30%', '15%', '12.5%']","['15%', '12.5%', '15%', '30%', '17.5%', '10%', '0%']"
骨斧Ⅰ,140,,,,,"['25%', '15%', '10%', '50%', '25%', '15%']","['20%', '2.5%', '37.5%']"
骨斧Ⅱ,154,,,,,"['22.5%', '12.5%', '15%', '50%', '22.5%', '12.5%']","['20%', '7.5%', '37.5%']"
