武器,數值,屬性技能,會心,防禦,洞數,斬味,有匠的斬味

尖刺號角,336,,,,,"['25%', '12.5%', '12.5%', '50%', '25%', '12.5%']","['20%', '5%', '37.5%']"
金屬風笛Ⅰ,336,,,,,"['25%', '12.5%', '12.5%', '50%', '25%', '12.5%']","['20%', '5%', '37.5%']"
金屬風笛Ⅱ,378,,,,,"['20%', '17.5%', '7.5%', '5%', '50%', '20%']","['17.5%', '7.5%', '17.5%', '37.5%']"
金屬風笛Ⅲ,420,,,,,"['15%', '17.5%', '7.5%', '10%', '50%', '15%']","['17.5%', '7.5%', '22.5%', '37.5%']"
巨型風笛Ⅰ,462,,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
巨型風笛Ⅱ,546,,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
巨型風笛Ⅲ,588,(210),,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
威猛風笛Ⅰ,672,(240),,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
威猛風笛Ⅱ,756,(270),,,,"['15%', '15%', '5%', '37.5%', '15%', '12.5%']","['15%', '15%', '5%', '37.5%', '22.5%', '5%', '0%']"
滅盡龍旋律,840,120龍封力[大],,,,"['30%', '30%', '10%', '12.5%', '17.5%', '0%']","['30%', '30%', '10%', '12.5%', '17.5%', '0%']"
寂滅的章節,882,150龍封力[大],,,,"['27.5%', '30%', '10%', '12.5%', '20%', '0%']","['27.5%', '30%', '10%', '12.5%', '20%', '0%']"
閃電風笛Ⅰ,504,120,,,,"['20%', '12.5%', '20%', '10%', '37.5%', '20%']","['12.5%', '20%', '22.5%', '25%']"
閃電風笛Ⅱ,546,150,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
雷鼓Ⅰ,630,180,,,,"['27.5%', '12.5%', '20%', '15%', '25%', '27.5%']","['12.5%', '20%', '25%', '2.5%', '12.5%']"
雷鼓Ⅱ,714,210,,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
雷鼓Ⅲ,756,240,,,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
搔鳥風笛Ⅰ,420,,+15%,,,"['17.5%', '17.5%', '7.5%', '7.5%', '50%', '17.5%']","['17.5%', '7.5%', '20%', '37.5%']"
搔鳥風笛Ⅱ,504,,+15%,,,"['20%', '12.5%', '20%', '10%', '37.5%', '20%']","['12.5%', '20%', '22.5%', '25%']"
搔鳥風笛Ⅲ,588,,+15%,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
星空皮鼓Ⅰ,630,(240),+25%,,,"['27.5%', '12.5%', '20%', '15%', '25%', '27.5%']","['12.5%', '20%', '25%', '2.5%', '12.5%']"
星空皮鼓Ⅱ,672,(300),+25%,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
星空皮鼓Ⅲ,714,(360),+25%,,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
女武神戰鈴,462,150,+15%,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
女武神之笛,630,180,+15%,,,"['25%', '12.5%', '12.5%', '20%', '5%', '25%']","['25%', '12.5%', '12.5%', '20%', '17.5%', '12.5%']"
櫻戰鈴,714,210,+25%,,,"['20%', '12.5%', '12.5%', '20%', '10%', '25%']","['20%', '12.5%', '12.5%', '20%', '22.5%', '12.5%']"
皇家戰笛,798,240,+25%,,,"['17.5%', '12.5%', '15%', '30%', '12.5%', '12.5%']","['17.5%', '12.5%', '15%', '30%', '15%', '10%', '0%']"
水流風笛,420,120,,,,"['15%', '17.5%', '7.5%', '10%', '50%', '15%']","['17.5%', '7.5%', '22.5%', '37.5%']"
水流風笛Ⅱ,504,150,,,,"['17.5%', '12.5%', '20%', '12.5%', '37.5%', '17.5%']","['12.5%', '20%', '25%', '25%']"
水流風笛Ⅲ,546,180,,,,"['15%', '12.5%', '20%', '15%', '37.5%', '15%']","['12.5%', '20%', '27.5%', '25%']"
激流銅鑼Ⅰ,588,210,,,,"['25%', '12.5%', '20%', '17.5%', '25%', '25%']","['12.5%', '20%', '25%', '5%', '12.5%']"
激流銅鑼Ⅱ,672,240,,,,"['22.5%', '12.5%', '12.5%', '20%', '7.5%', '25%']","['22.5%', '12.5%', '12.5%', '20%', '20%', '12.5%']"
激流銅鑼Ⅲ,756,270,,,,"['22.5%', '15%', '20%', '20%', '10%', '12.5%']","['22.5%', '15%', '20%', '20%', '17.5%', '5%', '0%']"
優雅風笛Ⅰ,546,240,,,,"['12.5%', '12.5%', '20%', '17.5%', '37.5%', '12.5%']","['12.5%', '20%', '30%', '25%']"
